BirdID,Sex,Cohort,EggDate,HatchDate,NatalBrood,RearingBrood,Fostered,LastLiveRecord,LastLiveYear,LastStage,DeathStatus,DeadCertain,DeadAssumed,DeathAgeY,DeathAgeM,CaptureDate,CaptureYear,Stage,AgeY,AvAgeY,WiAgeY,AgeM,AvAgeM,WiAgeM,McAgeY,McAgeM,SampleID,CTLowTL,TValue,CTHighGAPDH,SValue,TSRatio,Plate,Row,RelDiff,AnalysisYear,ExtractionYear,BloodAge,DNAAge
256,0,2001,04/07/2001,18/07/2001,202,202,0,09/02/2007,2007,3,0,FALSE,TRUE,6,67,09/02/2007,2007,3,6,3.4,2.6,67,40.6,26.4,4.808219178,52.11760094,BFW0043,18.08934092,45.8768388,19.77178916,61.6357049,0.752739576,MEM_Adults_plate11_141014_data.csvresultstotal.csv,G,0.165303635,2014,2014,7,0
287,0,2001,04/07/2001,18/07/2001,202,202,0,09/02/2007,2007,3,0,FALSE,TRUE,6,67,17/11/2005,2005,3,4,3.4,0.6,52,40.6,11.4,2.808219178,37.11760094,BEW0171,18.48614754,25.60619849,19.95058433,52.64322998,0.485813515,MEM_Adults_Plate8_100914_data.csvresultstotal.csv,C,0.056955692,2014,2014,9,0
287,0,2001,04/07/2001,18/07/2001,202,202,0,09/02/2007,2007,3,0,FALSE,TRUE,6,67,30/05/2003,2003,3,2,3.4,-1.4,22,40.6,-18.6,0.808219178,7.117600941,BCS0137,18.85345583,48.45212566,20.82484398,34.45784716,1.416601038,NdR_hstel2016_pMEAdCh1_newm_meltcurve.csvresultstotal.csv,E,0.172750348,2015,2004,1,11
287,1,2001,NA,NA,NA,NA,0,19/07/2001,2001,3,0,FALSE,TRUE,0,NA,19/07/2001,2001,3,0,0,0,NA,NA,NA,-1.191780822,NA,BAN1213,20.50958153,26.50769137,20.76810068,35.1377792,0.754215403,MEM_Adults_plate42_270515_data.csvresultstotal.csv,A,0.011504997,2015,2015,14,0
338,0,2001,NA,NA,NA,NA,0,19/07/2001,2001,3,0,FALSE,TRUE,0,NA,19/07/2001,2001,3,0,0,0,NA,NA,NA,-1.191780822,NA,BAN1214,20.13304646,33.16400411,20.40732879,43.6811254,0.759635944,MEM_Adults_plate42_270515_data.csvresultstotal.csv,D,0.014426024,2015,2015,14,0
338,1,2001,NA,NA,NA,NA,0,16/11/2005,2005,3,0,FALSE,TRUE,4,NA,16/11/2005,2005,3,4,1.4,2.6,NA,NA,NA,2.808219178,NA,BEW0089,19.16632414,25.60811715,20.81971821,30.59245575,0.836413995,MEM_Adults_plate10_131014_data.csvresultstotal.csv,E,0.044620612,2014,2014,9,0
338,1,2001,NA,NA,NA,NA,0,16/11/2005,2005,3,0,FALSE,TRUE,4,NA,13/06/2004,2004,3,3,1.4,1.6,NA,NA,NA,1.808219178,NA,BDS0609,20.4830975,24.67722717,20.76032105,35.76167324,0.689899245,MEM_Adults_plate36_220515_data.csvresultstotal.csv,H,0.057604406,2015,2015,11,0
338,1,2001,NA,NA,NA,NA,0,16/11/2005,2005,3,0,FALSE,TRUE,4,NA,19/07/2001,2001,3,0,1.4,-1.4,NA,NA,NA,-1.191780822,NA,BAN1215,19.94037396,19.52058459,20.52517771,35.59196727,0.54917144,MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv,B,0.076378755,2015,2015,14,0
346,0,2002,20/04/2002,04/05/2002,212,212,0,30/08/2004,2004,3,0,FALSE,TRUE,2,27,28/05/2003,2003,3,1,1,0,12,12,0,-0.191780822,-2.882399059,BCS0113,20.35200389,26.7523193,20.85809288,33.66121458,0.794825775,MEM_Adults_plate36_220515_data.csvresultstotal.csv,B,0.030656951,2015,2015,12,0
346,0,2002,20/04/2002,04/05/2002,212,212,0,05/08/2006,2006,3,0,FALSE,TRUE,4,51,16/11/2005,2005,3,3,2.125,0.875,42,27.375,14.625,1.808219178,27.11760094,BEW0096,18.57154551,36.75607979,20.37817923,40.00948964,0.918627332,MEM_Adults_plate10_131014_data.csvresultstotal.csv,C,0.006081813,2014,2014,9,0
353,0,2002,20/04/2002,04/05/2002,212,212,0,05/08/2006,2006,3,0,FALSE,TRUE,4,51,02/06/2005,2005,3,3,2.125,0.875,37,27.375,9.625,1.808219178,22.11760094,BES0368,18.9924535,30.66587881,21.49468657,22.39379811,1.383159893,MEM_Adults_plate9_101014_data.csvresultstotal.csv,D,0.181093524,2014,2006,1,8
353,0,2002,20/04/2002,04/05/2002,212,212,0,05/08/2006,2006,3,0,FALSE,TRUE,4,51,03/06/2003,2003,3,1,2.125,-1.125,13,27.375,-14.375,-0.191780822,-1.882399059,BCS0158,20.06848436,18.33522606,22.34482021,12.27867968,1.495954889,MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv,B,0.024421968,2015,2004,1,11
353,0,2002,27/04/2002,11/05/2002,220,221,-1,30/08/2004,2004,3,0,FALSE,TRUE,2,27,02/06/2004,2004,3,2,1.5,0.5,25,18.25,6.75,0.808219178,10.11760094,BDS0472,20.31380583,12.24001884,22.36661721,12.51613086,0.976137231,MEM_Adults_plate35_210515_data.csvresultstotal.csv,E,0.124309335,2015,2005,1,10
354,1,2002,27/04/2002,11/05/2002,220,221,-1,05/06/2006,2006,3,0,FALSE,TRUE,4,49,16/11/2005,2005,3,3,3,0,42,42,0,1.808219178,27.11760094,BEW0106,19.52625046,18.7187618,21.79104201,19.93670617,0.938873439,MEM_Adults_plate38bis_030615_data.csvresultstotal.csv,C,0.005115377,2015,2014,9,1
354,1,2002,27/04/2002,11/05/2002,221,220,-1,04/05/2006,2006,3,0,FALSE,TRUE,4,48,26/05/2003,2003,3,1,2,-1,12,25.66666667,-13.66666667,-0.191780822,-2.882399059,BCS0088,18.9508276,27.46105072,21.27912151,23.85683929,1.151724889,MEM_Adults_plate35_210515_data.csvresultstotal.csv,G,0.029909658,2015,2004,1,11
354,1,2002,27/04/2002,11/05/2002,221,220,-1,04/05/2006,2006,3,0,FALSE,TRUE,4,48,25/11/2004,2004,3,2,2,0,30,25.66666667,4.333333333,0.808219178,15.11760094,BDW0133,18.81064823,39.35375883,20.17578516,47.74840806,0.823778378,MEM_Adults_plate39_260515_data.csvresultstotal.csv,A,0.044896711,2015,2014,10,1
356,1,2002,27/04/2002,11/05/2002,221,220,-1,04/05/2006,2006,3,0,FALSE,TRUE,4,48,19/05/2004,2004,3,2,2,0,24,25.66666667,-1.666666667,0.808219178,9.117600941,BDS0283,18.74427102,12.48696789,21.67432806,16.99872437,0.733508497,MEM_Plates1-6_reruns_031014_data.csvresultstotal.csv,D,0.064488171,2014,2005,1,9
356,0,2002,30/04/2002,14/05/2002,224,225,-1,30/08/2004,2004,3,0,FALSE,TRUE,2,27,05/06/2003,2003,3,1,1,0,13,13,0,-0.191780822,-1.882399059,BCS0168,20.35329786,32.1272712,21.34957177,30.51746159,1.052734664,MEM_Adults_plate45_290515_data.csvresultstotal.csv,G,0.002224903,2015,2004,1,11
356,1,2002,01/05/2002,15/05/2002,225,224,-1,30/08/2004,2004,3,1,FALSE,TRUE,2,27,29/05/2003,2003,3,1,1,0,12,12,0,-0.191780822,-2.882399059,BCS0125,18.42756167,63.85550002,20.33318664,46.94184838,1.357395375,NdR_hstel2016_pMEAdCh1_newm_meltcurve.csvresultstotal.csv,E,0.063571522,2015,2004,1,11
363,0,2002,03/05/2002,17/05/2002,227,226,-1,20/08/2005,2005,3,0,FALSE,TRUE,3,39,30/07/2005,2005,3,3,2,1,38,23.16666667,14.83333333,1.808219178,23.11760094,BES1029,19.79753959,6.492053029,21.7663059,12.78311284,0.506824942,MEM_Adults_100914_PLATE3_data.csvresultstotal.csv,G,0.14358232,2014,2006,1,8
363,0,2002,06/05/2002,20/05/2002,233,232,-1,07/05/2007,2007,3,0,FALSE,TRUE,5,60,11/02/2007,2007,3,5,2.8,2.2,57,36.6,20.4,3.808219178,42.11760094,BFW0066,16.93999398,85.59046372,19.14427201,100.1328165,0.854347432,MEM_Adults_100914_PLATE4_data.csvresultstotal.csv,E,0.012098193,2014,2014,7,0
393,0,2002,06/05/2002,20/05/2002,233,232,-1,07/05/2007,2007,3,0,FALSE,TRUE,5,60,29/05/2003,2003,3,1,2.8,-1.8,12,36.6,-24.6,-0.191780822,-2.882399059,BCS0124,20.71173508,21.72116196,21.43229018,23.73791362,0.908796983,MEM_Adults_plate36_220515_data.csvresultstotal.csv,G,0.124016597,2015,2015,12,0
393,0,2002,06/05/2002,20/05/2002,233,232,-1,07/05/2007,2007,3,0,FALSE,TRUE,5,60,25/11/2004,2004,3,2,2.8,-0.8,30,36.6,-6.6,0.808219178,15.11760094,BDW0128,17.69604147,55.87703685,20.30221125,57.48316247,0.970029581,MEM_Adults_plate40_270515_data.csvresultstotal.csv,D,0.073457923,2015,2014,10,1
393,0,2002,06/05/2002,20/05/2002,233,232,-1,07/05/2007,2007,3,0,FALSE,TRUE,5,60,20/11/2005,2005,3,3,2.8,0.2,42,36.6,5.4,1.808219178,27.11760094,BEW0216,19.32177324,32.69170112,20.58776785,36.00635362,0.911577257,NdR_hstel2016_pMEAdCh3_newm.csvresultstotal.csv,G,0.063027886,2014,2014,9,0
409,0,2002,06/05/2002,20/05/2002,234,234,0,30/08/2005,2005,3,0,FALSE,TRUE,3,39,25/11/2004,2004,3,2,1.75,0.25,30,25.75,4.25,0.808219178,15.11760094,BDW0123,18.60214897,44.51843254,20.30146858,57.67533517,0.771871194,MEM_Aduts_reruns1_040615_data.csvresultstotal.csv,E,0.000669407,2015,2014,10,1
