V1,V2,V3
-0.037735618,0.044392081,-0.407261568
-0.453434831,-0.280815581,-0.070895089
-0.142698336,-0.391073011,-0.303421712
-0.307419992,-0.253855055,-0.500359459
-0.085141066,-0.462396935,-0.263394376
-0.385328426,-0.123622163,-0.082453238
-0.451450522,-0.168242474,-0.260361418
-0.605091237,-0.126579836,-0.239369692
-0.466892775,-0.186920749,-0.071003869
-0.27801801,-0.262372843,-0.347373656
-0.156052358,-0.457450494,-0.137377686
-0.325251293,-0.200728704,-0.13346491
0.184775941,-0.280513633,-0.290684024
0.406902787,-0.184768457,-0.20935831
-0.178967796,-0.553559309,-0.167738746
0.065979694,0.205610217,0.219308293
0.197164764,-0.22042768,0.534023145
-0.29454328,-0.10273156,-0.17123021
-0.577466945,-0.15767187,-0.156950386
0.092525221,-0.508791472,0.085097611
-0.269336906,-0.14885216,-0.290808464
-0.375026928,-0.704347038,-0.067054494
-0.088027202,-0.216064135,-0.308833182
-0.391665341,-0.325357786,-0.432173489
-0.330277535,-0.449391292,-0.465145766
0.011409323,-0.118049456,-0.243683698
0.180821424,-0.358063255,-0.476039073
-0.102927271,0.003337341,-0.171246881
-0.084643715,0.37716579,0.035452968
-0.116104418,0.655909959,0.015192548
-0.08085484,0.068008574,1.589736578
0.21207631,0.295891696,0.139797516
-0.048165282,-0.105808041,0.029744484
-0.265847102,-0.162316394,-0.289140326
0.079362252,-0.44765868,-0.032891609
0.185996236,0.445746106,-0.513569528
0.075097493,0.03642776,0.042150118
0.175897261,0.378643349,0.304714625
0.224695348,0.172014311,0.086613216
0.140426068,-0.188711766,0.135732402
0.066445285,0.208636423,0.073614949
0.234784098,-0.042741009,-0.10682192
-0.140775757,0.162746319,0.143451521
0.073477228,0.23665106,0.161580497
0.255256883,0.438704308,0.332139402
0.441518392,-0.081727426,-0.052522596
0.326144152,0.367613763,0.337125593
0.333218918,0.110554805,4.084868403
0.264764823,0.478376721,0.269140662
0.311980368,0.410471254,0.096230847
0.525030808,0.365323929,0.257964415
0.929404974,0.19453197,-0.279781546
0.402746232,0.029748377,-0.46051718
-0.353858438,-0.492043835,-0.304577121
0.050403421,-0.217897416,-0.243787566
0.091186949,0.216029171,1.712715822
0.131187395,-0.305247403,-0.041123784
0.03548305,-0.204954895,-0.476374302
0.304310259,-0.097135638,-0.24496584
-0.365969872,-0.107183473,-0.163473266
-0.200879822,-0.341490627,-0.271938837
-0.244830914,0.026942998,-0.23817191
-0.080361222,-0.194809895,0.064363645
-0.026500477,-0.24320087,-0.10627846
-0.380868983,1.858741198,0.342021501
0.586207443,0.059918314,0.076515853
0.26450431,0.668506644,0.973976547
-0.136949331,-0.60103282,-0.136750974
-0.134692872,0.379116268,-0.351136664
-0.238697986,-0.433636246,-0.097366586
-0.014281205,-0.152560716,-0.130635219
-0.07518498,0.348808462,-0.303676599
-0.245689548,-0.517460211,-0.108269071
-0.451132261,-0.02059733,-0.195175757
-0.773386345,-0.420505863,0.268098833
0.347843759,-0.532748614,0.253454631
0.139709703,-0.050558435,-0.068830305
1.267621948,0.002399494,0.542620108
0.410830417,-0.040974753,0.667839389
0.28394909,-0.257293182,-0.350348667
0.254074323,0.624993322,0.110501254
0.436350687,-0.328809854,0.384412199
-0.306049102,-0.38110402,0.198185227
-0.18496078,0.063961512,-0.186101208
-0.281700036,0.95473575,-0.370134914
0.02321261,-0.058709259,-0.197653448
